trade_date,index_code,index_name,open,high,low,close,preclose,volume,amount,pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,index_ret_1,index_ret_5,index_ret_10,index_ret_20,index_range_pos_20,index_close_ma_ratio_5,index_amount_ratio_5,index_volatility_5,index_close_ma_ratio_10,index_amount_ratio_10,index_volatility_10,index_close_ma_ratio_20,index_amount_ratio_20,index_volatility_20,index_body_pct,index_close_position_in_day,index_amount_change_1,future_5_trade_date,future_5_close,future_5_return,future_5_direction,future_5_up_label
2024-01-12,sh.000852,中证1000,5601.0976,5646.2716,5574.4084,5574.4926,5611.1149,12106688100,118289969742.1,-0.652674,0,0,0,0,0,-0.006526742127487051,-0.017850582747753196,-0.03979561132356102,-0.06965609006068119,0.20239017692550293,0.0028030275182577835,1.024340371154697,0.015042103617347482,-0.01891043883653143,0.9523167462276818,0.012725455209111836,-0.027772790602427766,0.9351663538757663,0.012103505766401505,-0.004749961864617476,0.0011716706186104704,-0.04323562940652781,2024-01-19,5306.9862,-0.047987578277527754,下跌,0.0
2024-01-15,sh.000852,中证1000,5558.1481,5607.1342,5520.363,5559.376,5574.4926,10866718400,107428092792.8,-0.271174,0,0,0,0,0,-0.00271174456308354,0.0028504171811889467,-0.0556898102419896,-0.06590232546362362,0.20230931807926197,-0.00048455331509666966,0.9387449014780241,0.01035831195874351,-0.015892411329950673,0.8977172611634254,0.011080131055885022,-0.027081528496063156,0.8597968555646085,0.012081145328561374,0.00022091890642494093,0.4496077039386324,-0.09182415865843452,2024-01-22,5000.8336,-0.10046854179317977,下跌,0.0
2024-01-16,sh.000852,中证1000,5555.0003,5566.2102,5463.2948,5539.4741,5559.376,11680310800,113669505608.7,-0.357988,0,0,0,0,0,-0.003579880187992268,-0.002490301493516367,-0.05384949524910487,-0.05421390098817036,0.1796384754885279,-0.0035671975442742587,0.9950390684886852,0.010485134303956773,-0.013912112316118774,0.9723665049796753,0.011099791140135705,-0.027863401704092627,0.9160906967407385,0.011715574271790019,-0.0027949953486049923,0.7402128350081729,0.0580985164461405,2024-01-23,5079.6315,-0.08301195956489804,下跌,0.0
2024-01-17,sh.000852,中证1000,5529.8946,5529.8946,5389.1216,5389.1216,5539.4741,10403735400,104138700026.9,-2.714202,0,0,0,0,0,-0.027142016965112203,-0.02230505621791412,-0.07467685505333166,-0.08091019184155568,0.0,-0.026305639568299788,0.918068879213741,0.016012626458416425,-0.03319141690546479,0.9119310777069436,0.013041667594301034,-0.05029566154289389,0.8433978898649691,0.012875428163272126,-0.025456723894882054,0.0,-0.08384663530260428,2024-01-24,5143.4078,-0.045594406331451176,下跌,0.0
2024-01-18,sh.000852,中证1000,5360.2062,5375.2344,5214.8994,5373.4239,5389.1216,14871103600,142966452446.5,-0.291285,0,0,0,0,0,-0.002912849470681933,-0.042360743673240386,-0.07082664744716671,-0.06732639714739985,0.23425156591775664,-0.020730828754434105,1.2188254638190303,0.010491882737887656,-0.02887166131433383,1.2195573354950717,0.013128288537080897,-0.04981445876976298,1.1474640635414641,0.012489357358523823,0.0024658939426621595,0.9887080175881716,0.3728465249668993,2024-01-25,5316.195,-0.01065036019213006,下跌,0.0
2024-01-19,sh.000852,中证1000,5364.807,5395.1373,5304.9599,5306.9862,5373.4239,10643108600,109174686371.9,-1.236413,0,0,0,0,0,-0.012364127832907301,-0.047987578277527754,-0.06498155478837375,-0.0848307061738478,0.1360766133963857,-0.02331573535233522,0.9454360296143098,0.01053173363838523,-0.03444273616395355,0.9454209791668079,0.01267533656643558,-0.05746322776995272,0.8850823923975994,0.012412865793608376,-0.010777796852710547,0.022470153275659266,-0.23636150646771725,2024-01-26,5269.7646,-0.007013698283217629,下跌,0.0
2024-01-22,sh.000852,中证1000,5298.3136,5298.3136,4970.1979,5000.8336,5306.9862,14425251200,139600818351.0,-5.76886,0,0,0,0,0,-0.057688599227938564,-0.10046854179317977,-0.09790450186968713,-0.12784913621491267,0.03324802743907975,-0.06034126609572854,1.14511345307982,0.02285069483223429,-0.08107025342338459,1.1813156595731698,0.020158545005598244,-0.10601718728509024,1.1354966164822753,0.017194741545124854,-0.0561461669615027,0.09336858918972725,0.27869218580078514,2024-01-29,5131.2465,0.02607823223712158,上涨,1.0
2024-01-23,sh.000852,中证1000,4992.7924,5102.4428,4939.5196,5079.6315,5000.8336,13028824100,124162903226.6,1.575695,0,0,0,0,0,0.015756953000795715,-0.08301195956489804,-0.08529553625153019,-0.11438728868061598,0.1471597636987734,-0.028751028374886745,1.00124338959278,0.027619265795730933,-0.05839501463328778,1.0423130533510914,0.021511480224854825,-0.08657405543592911,1.006735346280799,0.01785887882137112,0.017392892201967006,0.8599874051086686,-0.11058613629029213,2024-01-30,4984.6598,-0.018696572773044706,下跌,0.0
2024-01-24,sh.000852,中证1000,5102.8249,5151.4231,4951.9007,5143.4078,5079.6315,14332644100,135222048613.6,1.25553,0,0,0,0,0,0.012555300517370194,-0.045594406331451176,-0.06688247675291992,-0.08991817397597779,0.2141441186149651,-0.007228302748236715,1.03836937732523,0.029565453310040228,-0.040012499789511935,1.1099344470036672,0.022542397685997938,-0.0708604013920876,1.0862884818806104,0.01818986897405858,0.007953026175756165,0.9598275682329401,0.0890696423779398,2024-01-31,4785.032,-0.06967672289177607,下跌,0.0
2024-01-25,sh.000852,中证1000,5143.2892,5316.2611,5112.5353,5316.195,5143.4078,16314491700,158319218894.5,3.359391,0,0,0,0,0,0.03359391413607127,-0.01065036019213006,-0.05255994668724395,-0.0667055630418848,0.3956228047377892,0.02839476008215569,1.1877272835499388,0.03536255455227181,-0.002270751103022439,1.2635491363616116,0.024861736909604342,-0.036339706096947255,1.250228648943628,0.019938429447025605,0.03361774795786314,0.9996755442855053,0.17080920247629638,2024-02-01,4750.4439,-0.10642030625287435,下跌,0.0
2024-01-26,sh.000852,中证1000,5303.961,5352.8464,5253.3165,5269.7646,5316.195,15541566100,150031258107.2,-0.873377,0,0,0,0,0,-0.00873376540928228,-0.007013698283217629,-0.05466470616536456,-0.09228490208925211,0.3468568777006183,0.020883145987096174,1.0605370409236534,0.035123504017967655,-0.0052959184016890815,1.167818634800585,0.02488557477209317,-0.04009493276795073,1.1875000635243986,0.019249168390554378,-0.006447332474729699,0.16525787728110294,-0.052349682149599785,2024-02-02,4574.6692,-0.1319025521557453,下跌,0.0
2024-01-29,sh.000852,中证1000,5282.8174,5301.8708,5131.2465,5131.2465,5269.7646,15000089200,141294666661.0,-2.628544,0,0,0,0,0,-0.026285443566113065,0.02607823223712158,-0.07701035152146574,-0.12841146990055596,0.20145569936119978,-0.010948736051664243,0.9963940004604648,0.02322223986949059,-0.023551242680392326,1.0715666776500945,0.02571353935228282,-0.05884634703242431,1.1234990606357527,0.019298262817824915,-0.028691300214162184,0.0,-0.05823180820064555,2024-02-05,4293.0695,-0.16334763882421177,下跌,0.0
2024-01-30,sh.000852,中证1000,5099.587,5144.2936,4978.9095,4984.6598,5131.2465,12501506900,117586947100.2,-2.856746,0,0,0,0,0,-0.028567464065505255,-0.018696572773044706,-0.1001564931949045,-0.14861261183954333,0.048964780225640256,-0.035672854956068645,0.8369724122102153,0.026498475672602176,-0.041324383532152065,0.889127800509868,0.026473696837624152,-0.07837871158536436,0.9439062656149741,0.0199046169272415,-0.022536570118325282,0.03476936416499893,-0.1677892033793501,2024-02-06,4592.4444,-0.07868448715396781,下跌,0.0
2024-01-31,sh.000852,中证1000,4949.188,4986.1016,4775.6227,4785.032,4984.6598,15823715500,139299752958.0,-4.004843,0,0,0,0,0,-0.04004843018574711,-0.06967672289177607,-0.11209426040785575,-0.1784002686243995,0.009053371236513298,-0.06127610767413172,0.9857995375296017,0.028872899916295377,-0.06890016609834315,1.0260292041563663,0.027679707549863573,-0.10670793606087425,1.1145688806578127,0.021149893071077105,-0.0331682692191123,0.04470424351324648,0.18465319827801774,2024-02-07,4797.8456,0.002677850430258255,上涨,1.0
2024-02-01,sh.000852,中证1000,4753.6393,4858.7154,4684.4734,4750.4439,4785.032,14711551600,129099528518.5,-0.722839,0,0,0,0,0,-0.007228394710839914,-0.10642030625287435,-0.11593725185165449,-0.17855245243593076,0.059310756158257406,-0.04690503648893074,0.9530282889576329,0.01397575239724967,-0.06428752333431598,0.960710771947059,0.027564882296627097,-0.10453426873450544,1.0261984507392157,0.021148780841809694,-0.00067220077047066,0.37861422619116103,-0.07322500020926415,2024-02-08,4993.1046,0.051081689439590905,上涨,1.0
2024-02-02,sh.000852,中证1000,4753.668,4802.6191,4431.8151,4574.6692,4750.4439,17688543500,150000797614.0,-3.700174,0,0,0,0,0,-0.03700174208982865,-0.1319025521557453,-0.1379911257353561,-0.1940058026264485,0.11589303424557877,-0.05583680879996811,1.1073737796043213,0.012852689104269947,-0.08572231697899513,1.0833370944851999,0.02868901435919913,-0.12862464383623473,1.1813918057637658,0.0219486687103874,-0.03765488039972489,0.385255013430277,0.1619004293459123,2024-02-19,5029.5861,0.09944257827429359,上涨,1.0
2024-02-05,sh.000852,中证1000,4534.7524,4534.7524,4177.9428,4293.0695,4574.6692,21127433000,166206907857.5,-6.15563,0,0,0,0,0,-0.06155629788488326,-0.16334763882421177,-0.1415292242477335,-0.22557737791744303,0.07840662118724456,-0.08220186525373174,1.1834829368241968,0.019667859014333027,-0.12969123546444206,1.1777499842485617,0.029356290527730707,-0.17240689484432958,1.281983816549707,0.024627063978274803,-0.053295721283481916,0.3226558366142605,0.10804016046103637,2024-02-20,5046.0121,0.17538560696490024,上涨,1.0
2024-02-06,sh.000852,中证1000,4229.7937,4641.4545,4192.9652,4592.4444,4293.0695,21018741000,169330958130.7,6.973446,1,0,3,0,11,0.06973446388417437,-0.07868448715396781,-0.09590992968682865,-0.1730247770538743,0.2822948102630134,-0.001454057046158086,1.1229767597983438,0.051281269544898235,-0.05971402548583993,1.162674254673957,0.0389756125457918,-0.10641928653167354,1.2791198520564993,0.03064136227538934,0.08573720746711598,0.89072180763287,0.018796151817459084,2024-02-21,5073.4821,0.1047454597381734,上涨,1.0
2024-02-07,sh.000852,中证1000,4604.1217,4848.2363,4599.3511,4797.8456,4592.4444,21621331700,188713236491.8,4.47259,1,0,2,0,11,0.04472589804244542,0.002677850430258255,-0.06718545630389261,-0.1295744033374331,0.4221825520275687,0.04262583688410504,1.1745372558665519,0.054906307522975345,-0.010659048372462787,1.2498531505694428,0.0421808207804951,-0.059920907158650394,1.383440964576051,0.032917620136405305,0.04207619012329756,0.7975343652414849,0.1144638793465016,2024-02-22,5151.5343,0.07371823303359348,上涨,1.0
2024-02-08,sh.000852,中证1000,4826.1434,5067.2281,4826.1434,4993.1046,4797.8456,21762005900,192261800168.9,4.069722,1,0,1,0,11,0.0406972246043098,0.051081689439590905,-0.06077474584735887,-0.11014037513293484,0.555162985292834,0.0737335973210389,1.1093985017811478,0.05709021477519347,0.03650991600042608,1.2453593759917887,0.04297653654379053,-0.015702793432543993,1.3748707128998878,0.03417164423706789,0.03459515935643349,0.6925416668913436,0.018803999883994393,2024-02-23,5225.6697,0.04657725375911426,上涨,1.0
2024-02-19,sh.000852,中证1000,5062.6847,5071.1997,4950.3279,5029.5861,4993.1046,20387099600,185885021627.3,0.730638,0,1,0,1,11,0.007306376077120591,0.09944257827429359,-0.045576703748778424,-0.09774997279573017,0.595891704917483,0.06082330408631309,1.02995040561732,0.050807615275926594,0.049314745673492366,1.1767260880739066,0.04313840824153086,-0.0031571985198789454,1.2979015243861272,0.03428455336227843,-0.006537756538541567,0.6557211855867149,-0.03316716339906356,2024-02-26,5255.3962,0.04489635837032391,上涨,1.0
2024-02-20,sh.000852,中证1000,5004.4203,5058.2174,4950.3943,5046.0121,5029.5861,15434428500,151079011056.7,0.326588,0,1,0,2,11,0.0032658750985492535,0.17538560696490024,-0.016610856640779215,-0.09234200025326589,0.6252896956302326,0.031524916267198,0.8513699684332499,0.027795407667898012,0.05461703039149035,0.9505029035819182,0.04243508315465571,0.005212210028049391,1.0390420477543765,0.034327657160504677,0.008311012566230729,0.8868025497319176,-0.18724483697447192,2024-02-27,5394.0342,0.06896973156287123,上涨,1.0
2024-02-21,sh.000852,中证1000,5001.6567,5208.6485,4974.0762,5073.4821,5046.0121,19328052700,178053450105.2,0.54439,0,1,0,3,11,0.005443902918901067,0.1047454597381734,0.01781912980300082,-0.08412206494475716,0.6624047543701914,0.01713630622865514,0.9936101375852837,0.0205692113580362,0.05839347528317096,1.0791572974323587,0.04131649921292475,0.015397450399755819,1.1980336631311252,0.034396489238830465,0.01436032185095803,0.4237751004700889,0.17854524503325275,2024-02-28,5152.0519,0.015486365863003781,上涨,1.0
2024-02-22,sh.000852,中证1000,5075.4319,5152.0243,5066.0027,5151.5343,5073.4821,15306429500,146838694830.7,1.538435,0,0,0,0,0,0.015384345201493899,0.07371823303359348,0.07659348986589842,-0.04408646114053172,0.7998651817759612,0.01834258917526066,0.8595925776603264,0.015386771591041331,0.06652185087799678,0.8859209965722167,0.03859775350612716,0.033475778876924434,0.9740129578636676,0.03419289409141291,0.014994270733885855,0.9943037562658706,-0.17531115098335504,2024-02-29,5344.6052,0.03747832951437391,上涨,1.0
2024-02-23,sh.000852,中证1000,5169.0132,5225.6697,5114.1452,5225.6697,5151.5343,17121369300,167541135856.9,1.439094,0,0,0,0,0,0.014390935919809333,0.04657725375911426,0.10003818801017728,-0.02749721643959624,0.8607719637240715,0.023586049302130485,1.0100173531704264,0.00543348775260733,0.07132971713533287,0.9879123049472415,0.03824910046293947,0.049904511869600876,1.1023520688409134,0.03437890173557711,0.010960796153509542,1.0,0.14098763987291751,2024-03-01,5401.9394,0.03373150430843341,上涨,1.0
